Treacherous Terrain  C16:47
Stromkirk Captain  DKA:143
Goblin Warchief  DOM:130
Hard Evidence  MH2:46
Bishop of the Bloodstained  XLN:91
Burden of Guilt  DKA:4
Combine Chrysalis  MH2:191
Consign  HOU:149a
Duskmantle, House of Shadow  RAV:277
Enlisted Wurm  ARB:68
Ghost Quarter  DIS:173
Gnaw to the Bone  ISD:183
High Alert  RNA:182
Krosan Tusker  ONS:272
Kuldotha Rebirth  SOM:96
Laid to Rest  VOW:207
Leonin Relic-Warder  MBS:10
Magmaw  UMA:138
Maverick Thopterist  DDU:50
Mentor of the Meek  2X2:17
Metalspinner's Puzzleknot  KLD:221
Millstone  M14:213
Mistveil Plains  UMA:247
Mystery Key  CLB:85
Nyx Weaver  JOU:153
Putrid Warrior  APC:117
Quintorius, Field Historian  STX:220
Shard of Broken Glass  SOI:262
Spell Snare  DIS:33
Syr Konrad, the Grim  ELD:107
