High Ground  10E-20  ONE MOM LTR CMM WOE
Nomad Mythmaker  10E-30  CMM
Paladin en-Vec  10E-32  CLB DMU BRO MOM
Pariah  10E-33  CMM
Spirit Link  10E-45  MBTWWHITE
Treasure Hunter  10E-52  CLB DMU BRO ONE MOM
Scalpelexis  10E-105  CMM
Graveborn Muse  10E-145  MID VOW NEO CLB
No Rest for the Wicked  10E-165  WOE LCI
Relentless Rats  10E-173  ZNR KHM STX MHTWO AFR MID
Sleeper Agent  10E-178  DMU BRO MOM LTR
Terror  10E-182  MBTWBLACK
Guerrilla Tactics  10E-211  FOIL
Orcish Artillery  10E-220  LTR CMM WOE LCI
Shatterstorm  10E-229  BRO ONE MOM LTR CMM
Hurricane  10E-270  OLDFRAME
Rhox  10E-291  FOIL
Colossus of Sardia  10E-317  BRO MOM LTR
Doubling Cube  10E-321  AFR MID VOW NEO
Spellbook  10E-343  STX MHTWO AFR MID VOW
Forbidding Watchtower  10E-352  LTR CMM WOE LCI
Doomed Traveler  2X2-9  LTR CMM WOE LCI
Mentor of the Meek  2X2-17  MKM2 MBTWWHITE
Militia Bugler  2X2-19  MBTWWHITE
Myth Realized  2X2-22  MBTWWHITE
Body Double  2X2-40  MBTWBLUE
Carrier Thrall  2X2-72  MBTWBLACK
Dark-Dweller Oracle  2X2-106  MBTWRED
Dockside Extortionist  2X2-107  LCI
Aminatou, the Fateshifter  2X2-169  CMM WOE LCI
Elsha of the Infinite  2X2-208  MBTWRM
Cryptic Spires  2X2-332  MBTWLMC
Ancestral Blade  2XM-3  MBTWWHITE
Stonehewer Giant  2XM-32  MHTWO AFR MID VOW NEO
Frogify  2XM-52  MBTWBLUE
Serra Sphinx  2XM-68  MBTWBLUE
Beacon of Unrest  2XM-77  BRO ONE MOM LTR CMM
Cast Down  2XM-79  MBTWBLACK
Oubliette  2XM-100  ZNR KHM STX MHTWO AFR MID MBTWBLACK
Abrade  2XM-114  MBTWRED
Rapacious Dragon  2XM-140  MBTWRED
Reclamation Sage  2XM-178  MBTWGREEN
Skullmulcher  2XM-180  MBTWGREEN
Mazirek, Kraul Death Priest  2XM-209  MBTWRM
Blightsteel Colossus  2XM-235  ONE MOM LTR CMM
Expedition Map  2XM-255  AFR MID VOW NEO CLB
Sword of Feast and Famine  2XM-296  ONE MOM LTR CMM
Sword of War and Peace  2XM-300  ONE MOM LTR CMM
Thought Courier  5DN-38  MBTWBLUE
Bringer of the Black Dawn  5DN-43  FOIL
Lose Hope  5DN-52  ONE MOM LTR CMM
Mana Geyser  5DN-75  ONE MOM LTR CMM
Vulshok Sorcerer  5DN-80  WOE LCI
All Suns' Dawn  5DN-81  MID VOW NEO CLB
Eternal Witness  5DN-86  ZNR
Tornado Elemental  5DN-97  CMM
Blasting Station  5DN-107  FOIL
Clearwater Goblet  5DN-109  ZNR KHM STX MHTWO AFR MID
Helm of Kaldra  5DN-131  ZNR KHM STX MHTWO AFR
Horned Helm  5DN-132  KHM
Lantern of Insight  5DN-135  ONE MOM LTR CMM WOE FOIL
Lunar Avenger  5DN-136  VOW NEO CLB DMU
Mycosynth Golem  5DN-137  ZNR KHM STX MHTWO AFR MID
Staff of Domination  5DN-156  AFR MID VOW NEO
Vedalken Orrery  5DN-163  MID VOW NEO CLB
Wayfarer's Bauble  5DN-165  ZNR KHM STX MHTWO AFR
Arcane Laboratory  7ED-60  MBTWBLUE
Necrologia  7ED-149  MBTWBLACK
Curiosity  8ED-72  MBTWBLUE
Intruder Alarm  8ED-86  FOIL
Zur's Weirding  8ED-116  FOIL
Volcanic Hammer  8ED-231  MBTWRED
Fungusaur  8ED-250  FOIL
Fyndhorn Elder  8ED-251  MBTWGREEN
Maro  8ED-264  FOIL
Teferi's Puzzle Box  8ED-316  FOIL
Elfhame Palace  8ED-324  MBTWLMC
Storm Crow  9ED-100  FOIL
Form of the Dragon  9ED-187  FOIL
Overgrowth  9ED-262  MBTWGREEN
Cloudshift  A25-7  WHITEB
Fencing Ace  A25-13  WHITEB
Geist of the Moors  A25-15  WHITEB
Knight of the Skyward Eye  A25-19  WHITEB
Kor Firewalker  A25-21  WHITEB
Loyal Sentry  A25-22  WHITEB
Lunarch Mantle  A25-24  WHITEB
Nyx-Fleece Ram  A25-26  WHITEB
Path of Peace  A25-29  WHITEB
Promise of Bunrei  A25-30  WHITEB
Renewed Faith  A25-31  WHITEB
Savannah Lions  A25-33  WHITEA
Blue Elemental Blast  A25-43  BLUEB
Borrowing 100,000 Arrows  A25-45  BLUEB
Brainstorm  A25-46  BLUEB
Brine Elemental  A25-47  BLUEB
Choking Tethers  A25-48  BLUEB
Counterspell  A25-50  BLUEB
Court Hussar  A25-51  BLUEB
Curiosity  A25-52  BLUEB
Ghost Ship  A25-60  BLUEB
Horseshoe Crab  A25-61  BLUEB
Jalira, Master Polymorphist  A25-63  MBTWBLUE
Man-o'-War  A25-64  BLUEB
Murder of Crows  A25-66  BLUEA
Mystic of the Hidden Way  A25-67  BLUEB
Pact of Negation  A25-68  ZNR KHM STX MHTWO AFR MID
Phantasmal Bear  A25-69  BLUEB
Retraction Helix  A25-71  BLUEB
Caustic Tar  A25-81  BLACKB
Dark Ritual  A25-82  BLACKB
Diabolic Edict  A25-85  BLACKB
Dirge of Dread  A25-86  BLACKB
Erg Raiders  A25-90  BLACKB
Fallen Angel  A25-91  BLACKB
Hell's Caretaker  A25-92  MBTWRM
Ihsan's Shade  A25-94  MOM LTR CMM WOE
Living Death  A25-96  ZNR KHM STX RARE
Phyrexian Obliterator  A25-101  ZNR KHM STX MHTWO
Street Wraith  A25-108  BLACKB
Vampire Lacerator  A25-114  BLACKB
Will-o'-the-Wisp  A25-115  AFR MID VOW NEO BLACKB
Balduvian Horde  A25-120  REDA
Blood Moon  A25-122  VOW NEO SNC CLB DMU
Browbeat  A25-123  REDB
Chartooth Cougar  A25-125  REDB
Genju of the Spires  A25-132  REDB
Hordeling Outburst  A25-134  MBTWRED
Ire Shaman  A25-137  MBTWRED
Jackal Pup  A25-139  REDB
Lightning Bolt  A25-141  MHTWO AFR MID VOW NEO
Pillage  A25-144  KHM STX MHTWO AFR MID VOW REDB
Skirk Commando  A25-150  REDB
Spikeshot Goblin  A25-152  REDB
Uncaged Fury  A25-155  REDB
Zada, Hedron Grinder  A25-156  MBTWRED
Ambassador Oak  A25-158  GREENB
Ancient Stirrings  A25-159  GREENB
Arbor Elf  A25-160  GREENB
Courser of Kruphix  A25-164  RARE
Ember Weaver  A25-169  GREENB
Invigorate  A25-173  GREENB
Iwamori of the Open Fist  A25-174  MBTWGREEN
Kavu Climber  A25-175  GREENB
Master of the Wild Hunt  A25-181  MID VOW NEO SNC
Nettle Sentinel  A25-182  GREENA
Rancor  A25-186  GREENB
Regrowth  A25-187  GREENB
Animar, Soul of Elements  A25-196  RARE
Baloth Null  A25-197  MULTICOLOR
Blightning  A25-198  MULTICOLOR
Grenzo, Dungeon Warden  A25-205  AFR MID VOW NEO
Nicol Bolas  A25-209  ZNR KHM STX MHTWO AFR MID
Pernicious Deed  A25-212  MBTWRM
Pillory of the Sleepless  A25-213  MULTICOLOR
Prossh, Skyraider of Kher  A25-214  DMU BRO ONE MBTWRM
Stangg  A25-218  MBTWLMC
Vindicate  A25-219  MBTWRM
Coalition Relic  A25-223  MBTWRM
Heavy Arbalest  A25-225  COLORLESS
Perilous Myr  A25-227  COLORLESS
Prophetic Prism  A25-229  COLORLESS
Swiftfoot Boots  A25-234  ZNR KHM STX MHTWO AFR MID
Mishra's Factory  A25-242  COLORLESS
Zoetic Cavern  A25-249  LCI
Alley Evasion  AER-6  WHITEA
Caught in the Brights  AER-10  WHITEA
Conviction  AER-12  WHITEA
Countless Gears Renegade  AER-13  WHITEA
Decommission  AER-16  WHITEA
Felidar Guardian  AER-19  WHITEB
Restoration Specialist  AER-21  MBTWWHITE
Bastion Inventor  AER-30  BLUEB
Dispersal Technician  AER-32  NEO CLB DMU BRO
Hinterland Drake  AER-34  BLUEA
Mechanized Production  AER-38  BRO ONE MOM LTR CMM
Metallic Rebuke  AER-39  BLUEB
Whir of Invention  AER-49  RARE
Wind-Kin Raiders  AER-50  BLUEA
Alley Strangler  AER-52  BLACKA
Daring Demolition  AER-55  BLACKB
Fatal Push  AER-57  BLACKB
Fen Hauler  AER-58  BLACKB
Gifted Aetherborn  AER-61  BLACKB
Renegade's Getaway  AER-69  BLACKB
Chandra's Revolution  AER-77  REDB
Destructive Tampering  AER-78  REDA
Frontline Rebel  AER-82  REDA
Invigorated Rampage  AER-86  MBTWRED
Kari Zev, Skyship Raider  AER-87  MHTWO
Release the Gremlins  AER-96  RARE
Siege Modification  AER-99  NEO CLB DMU BRO
Sweatworks Brawler  AER-100  REDB
Greenbelt Rampager  AER-107  RARE
Silkweaver Elite  AER-125  GREENA
Hidden Stockpile  AER-129  MULTICOLOR
Winding Constrictor  AER-140  MULTICOLOR
Consulate Dreadnought  AER-146  COLORLESS
Crackdown Construct  AER-148  MBTWLMC
Hope of Ghirapur  AER-154  MOM LTR CMM WOE
Implement of Malice  AER-159  COLORLESS
Irontread Crusher  AER-161  COLORLESS
Renegade Map  AER-173  COLORLESS
Universal Solvent  AER-178  COLORLESS
Tezzeret's Betrayal  AER-191  NEO SNC CLB DMU
